continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Sweden,2020-01-05,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-06,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-07,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-08,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-09,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-10,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-11,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-12,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-13,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-14,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-15,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-16,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-17,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-18,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-19,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-20,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-21,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-22,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-23,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-24,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-25,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-26,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-27,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-28,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-29,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-30,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-01-31,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-01,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-02,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-03,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-04,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-05,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-06,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-07,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-08,10549349,0.0,0.0,0.0,0.0
Europe,Sweden,2020-02-09,10549349,1.0,1.0,0.0,0.0
Europe,Sweden,2020-02-10,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-11,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-12,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-13,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-14,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-15,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-16,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-17,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-18,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-19,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-20,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-21,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-22,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-23,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-24,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-25,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-26,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-27,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-28,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-02-29,10549349,1.0,0.0,0.0,0.0
Europe,Sweden,2020-03-01,10549349,14.0,13.0,0.0,0.0
Europe,Sweden,2020-03-02,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-03,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-04,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-05,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-06,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-07,10549349,14.0,0.0,0.0,0.0
Europe,Sweden,2020-03-08,10549349,179.0,165.0,0.0,0.0
Europe,Sweden,2020-03-09,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-10,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-11,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-12,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-13,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-14,10549349,179.0,0.0,0.0,0.0
Europe,Sweden,2020-03-15,10549349,994.0,815.0,3.0,3.0
Europe,Sweden,2020-03-16,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-17,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-18,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-19,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-20,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-21,10549349,994.0,0.0,3.0,0.0
Europe,Sweden,2020-03-22,10549349,1869.0,875.0,38.0,35.0
Europe,Sweden,2020-03-23,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-24,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-25,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-26,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-27,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-28,10549349,1869.0,0.0,38.0,0.0
Europe,Sweden,2020-03-29,10549349,3664.0,1795.0,201.0,163.0
Europe,Sweden,2020-03-30,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-03-31,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-04-01,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-04-02,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-04-03,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-04-04,10549349,3664.0,0.0,201.0,0.0
Europe,Sweden,2020-04-05,10549349,6833.0,3169.0,605.0,404.0
Europe,Sweden,2020-04-06,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-07,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-08,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-09,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-10,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-11,10549349,6833.0,0.0,605.0,0.0
Europe,Sweden,2020-04-12,10549349,10449.0,3616.0,1257.0,652.0
Europe,Sweden,2020-04-13,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-14,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-15,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-16,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-17,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-18,10549349,10449.0,0.0,1257.0,0.0
Europe,Sweden,2020-04-19,10549349,14277.0,3828.0,1924.0,667.0
Europe,Sweden,2020-04-20,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-21,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-22,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-23,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-24,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-25,10549349,14277.0,0.0,1924.0,0.0
Europe,Sweden,2020-04-26,10549349,18568.0,4291.0,2483.0,559.0
Europe,Sweden,2020-04-27,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-04-28,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-04-29,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-04-30,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-05-01,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-05-02,10549349,18568.0,0.0,2483.0,0.0
Europe,Sweden,2020-05-03,10549349,22439.0,3871.0,3025.0,542.0
Europe,Sweden,2020-05-04,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-05,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-06,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-07,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-08,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-09,10549349,22439.0,0.0,3025.0,0.0
Europe,Sweden,2020-05-10,10549349,26574.0,4135.0,3536.0,511.0
Europe,Sweden,2020-05-11,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-12,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-13,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-14,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-15,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-16,10549349,26574.0,0.0,3536.0,0.0
Europe,Sweden,2020-05-17,10549349,30463.0,3889.0,3937.0,401.0
Europe,Sweden,2020-05-18,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-19,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-20,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-21,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-22,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-23,10549349,30463.0,0.0,3937.0,0.0
Europe,Sweden,2020-05-24,10549349,34171.0,3708.0,4305.0,368.0
Europe,Sweden,2020-05-25,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-26,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-27,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-28,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-29,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-30,10549349,34171.0,0.0,4305.0,0.0
Europe,Sweden,2020-05-31,10549349,38396.0,4225.0,4575.0,270.0
Europe,Sweden,2020-06-01,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-02,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-03,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-04,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-05,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-06,10549349,38396.0,0.0,4575.0,0.0
Europe,Sweden,2020-06-07,10549349,44220.0,5824.0,4834.0,259.0
Europe,Sweden,2020-06-08,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-09,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-10,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-11,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-12,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-13,10549349,44220.0,0.0,4834.0,0.0
Europe,Sweden,2020-06-14,10549349,51387.0,7167.0,5074.0,240.0
Europe,Sweden,2020-06-15,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-16,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-17,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-18,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-19,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-20,10549349,51387.0,0.0,5074.0,0.0
Europe,Sweden,2020-06-21,10549349,58557.0,7170.0,5279.0,205.0
Europe,Sweden,2020-06-22,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-23,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-24,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-25,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-26,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-27,10549349,58557.0,0.0,5279.0,0.0
Europe,Sweden,2020-06-28,10549349,65918.0,7361.0,5416.0,137.0
Europe,Sweden,2020-06-29,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-06-30,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-07-01,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-07-02,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-07-03,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-07-04,10549349,65918.0,0.0,5416.0,0.0
Europe,Sweden,2020-07-05,10549349,70297.0,4379.0,5528.0,112.0
Europe,Sweden,2020-07-06,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-07,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-08,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-09,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-10,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-11,10549349,70297.0,0.0,5528.0,0.0
Europe,Sweden,2020-07-12,10549349,72685.0,2388.0,5613.0,85.0
Europe,Sweden,2020-07-13,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-14,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-15,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-16,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-17,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-18,10549349,72685.0,0.0,5613.0,0.0
Europe,Sweden,2020-07-19,10549349,74303.0,1618.0,5671.0,58.0
Europe,Sweden,2020-07-20,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-21,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-22,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-23,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-24,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-25,10549349,74303.0,0.0,5671.0,0.0
Europe,Sweden,2020-07-26,10549349,75687.0,1384.0,5706.0,35.0
Europe,Sweden,2020-07-27,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-07-28,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-07-29,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-07-30,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-07-31,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-08-01,10549349,75687.0,0.0,5706.0,0.0
Europe,Sweden,2020-08-02,10549349,77247.0,1560.0,5723.0,17.0
Europe,Sweden,2020-08-03,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-04,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-05,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-06,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-07,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-08,10549349,77247.0,0.0,5723.0,0.0
Europe,Sweden,2020-08-09,10549349,79226.0,1979.0,5740.0,17.0
Europe,Sweden,2020-08-10,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-11,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-12,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-13,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-14,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-15,10549349,79226.0,0.0,5740.0,0.0
Europe,Sweden,2020-08-16,10549349,81288.0,2062.0,5760.0,20.0
Europe,Sweden,2020-08-17,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-18,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-19,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-20,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-21,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-22,10549349,81288.0,0.0,5760.0,0.0
Europe,Sweden,2020-08-23,10549349,82981.0,1693.0,5776.0,16.0
Europe,Sweden,2020-08-24,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-25,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-26,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-27,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-28,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-29,10549349,82981.0,0.0,5776.0,0.0
Europe,Sweden,2020-08-30,10549349,84190.0,1209.0,5786.0,10.0
Europe,Sweden,2020-08-31,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-01,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-02,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-03,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-04,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-05,10549349,84190.0,0.0,5786.0,0.0
Europe,Sweden,2020-09-06,10549349,85503.0,1313.0,5798.0,12.0
Europe,Sweden,2020-09-07,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-08,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-09,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-10,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-11,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-12,10549349,85503.0,0.0,5798.0,0.0
Europe,Sweden,2020-09-13,10549349,87056.0,1553.0,5812.0,14.0
Europe,Sweden,2020-09-14,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-15,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-16,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-17,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-18,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-19,10549349,87056.0,0.0,5812.0,0.0
Europe,Sweden,2020-09-20,10549349,89109.0,2053.0,5822.0,10.0
Europe,Sweden,2020-09-21,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-22,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-23,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-24,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-25,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-26,10549349,89109.0,0.0,5822.0,0.0
Europe,Sweden,2020-09-27,10549349,91994.0,2885.0,5836.0,14.0
Europe,Sweden,2020-09-28,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-09-29,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-09-30,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-10-01,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-10-02,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-10-03,10549349,91994.0,0.0,5836.0,0.0
Europe,Sweden,2020-10-04,10549349,95647.0,3653.0,5851.0,15.0
Europe,Sweden,2020-10-05,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-06,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-07,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-08,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-09,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-10,10549349,95647.0,0.0,5851.0,0.0
Europe,Sweden,2020-10-11,10549349,99920.0,4273.0,5874.0,23.0
Europe,Sweden,2020-10-12,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-13,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-14,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-15,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-16,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-17,10549349,99920.0,0.0,5874.0,0.0
Europe,Sweden,2020-10-18,10549349,105380.0,5460.0,5891.0,17.0
Europe,Sweden,2020-10-19,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-20,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-21,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-22,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-23,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-24,10549349,105380.0,0.0,5891.0,0.0
Europe,Sweden,2020-10-25,10549349,114342.0,8962.0,5927.0,36.0
Europe,Sweden,2020-10-26,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-10-27,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-10-28,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-10-29,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-10-30,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-10-31,10549349,114342.0,0.0,5927.0,0.0
Europe,Sweden,2020-11-01,10549349,132033.0,17691.0,5995.0,68.0
Europe,Sweden,2020-11-02,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-03,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-04,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-05,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-06,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-07,10549349,132033.0,0.0,5995.0,0.0
Europe,Sweden,2020-11-08,10549349,156638.0,24605.0,6152.0,157.0
Europe,Sweden,2020-11-09,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-10,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-11,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-12,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-13,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-14,10549349,156638.0,0.0,6152.0,0.0
Europe,Sweden,2020-11-15,10549349,188473.0,31835.0,6370.0,218.0
Europe,Sweden,2020-11-16,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-17,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-18,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-19,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-20,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-21,10549349,188473.0,0.0,6370.0,0.0
Europe,Sweden,2020-11-22,10549349,219576.0,31103.0,6682.0,312.0
Europe,Sweden,2020-11-23,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-24,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-25,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-26,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-27,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-28,10549349,219576.0,0.0,6682.0,0.0
Europe,Sweden,2020-11-29,10549349,254805.0,35229.0,7108.0,426.0
Europe,Sweden,2020-11-30,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-01,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-02,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-03,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-04,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-05,10549349,254805.0,0.0,7108.0,0.0
Europe,Sweden,2020-12-06,10549349,292592.0,37787.0,7553.0,445.0
Europe,Sweden,2020-12-07,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-08,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-09,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-10,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-11,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-12,10549349,292592.0,0.0,7553.0,0.0
Europe,Sweden,2020-12-13,10549349,334969.0,42377.0,8063.0,510.0
Europe,Sweden,2020-12-14,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-15,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-16,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-17,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-18,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-19,10549349,334969.0,0.0,8063.0,0.0
Europe,Sweden,2020-12-20,10549349,380451.0,45482.0,8685.0,622.0
Europe,Sweden,2020-12-21,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-22,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-23,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-24,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-25,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-26,10549349,380451.0,0.0,8685.0,0.0
Europe,Sweden,2020-12-27,10549349,418129.0,37678.0,9323.0,638.0
Europe,Sweden,2020-12-28,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2020-12-29,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2020-12-30,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2020-12-31,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2021-01-01,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2021-01-02,10549349,418129.0,0.0,9323.0,0.0
Europe,Sweden,2021-01-03,10549349,459906.0,41777.0,10002.0,679.0
Europe,Sweden,2021-01-04,10549349,459906.0,0.0,10002.0,0.0
Europe,Sweden,2021-01-05,10549349,459906.0,0.0,10002.0,0.0
Europe,Sweden,2021-01-06,10549349,459906.0,0.0,10002.0,0.0
Europe,Sweden,2021-01-07,10549349,459906.0,0.0,10002.0,0.0
Europe,Sweden,2021-01-08,10549349,459906.0,0.0,10002.0,0.0
Europe,Sweden,2021-01-09,10549349,459906.0,0.0,10002.0,0.0
